번호,오프셋,뱅크,일본어 원문,자동번역(참고),한국어 번역(여기에 입력)
19,0x26032D,Bank 152,えええ{名前}{名前},에에에{이름}{이름},
20,0x26033F,Bank 152,{名前}{名前}〇いきぃて〇いますね / わたし〇は{名前}{名前},{이름}{이름}이키이테이합니다네 / 나하{이름}{이름},
21,0x260371,Bank 152,あのその{名前}{名前},저그{이름}{이름},
22,0x260385,Bank 152,〇〇さん〇ぜかしぎぃてても / ヂメぢよ〇〇は〇るし /  / どきるぢけ〇〇もするから,사은제카시기이테해도 / 디메디요하루시 /  / 도키루디케모스루부터,
23,0x2603DB,Bank 152,えええわかぃては / いるんどすけば{名前}{名前} /  / {名前}{名前}{名前}{名前}はい〇いますね,에에에와카이테하 / 이루은도스케바{이름}{이름} /  / {이름}{이름}{이름}{이름}네이합니다네,
24,0x260425,Bank 152,わたし{名前}{名前} / 〇くんのことぎ{名前}{名前} /  / {名前}{名前}す〇きなんどす,나{이름}{이름} / 쿠은노코토기{이름}{이름} /  / {이름}{이름}스키나은도스,
25,0x260465,Bank 152,ずぇん{名前}{名前}ああ / 〇〇〇のこと,즈에은{이름}{이름}아아 / 노코토,
26,0x260489,Bank 152,はいとても〇しい〇どすし / あの〇やかな〇〇しぎ /  / 〇〇ど{名前}{名前},네토해도시이도스시 / 저야일까시기 /  / 도{이름}{이름},
27,0x2604CD,Bank 152,ここ〇〇〇〇どなぞぢか / 〇に〇〇するように /  / なぃてしまぃたんどす{名前}{名前},여기도나조디카 / 니스할게우니 /  / 나이테시마이타은도스{이름}{이름},
28,0x26051B,Bank 152,ども〇くんの〇に〇くと / ばうしてもちぅんと /  / 〇ぎどきなくて{名前}{名前},도모쿠은노니쿠토 / 바우시해도치우은토 /  / 기도키나쿠테{이름}{이름},
29,0x260561,Bank 152,はっなるほばねょ{名前}{名前},하나루호바네요{이름}{이름},
30,0x26057D,Bank 152,なんか〇〇ぢぃたなっ / 〇〇さんぎ〇〇〇を /  / {名前}{名前}ふゅん,나은카디이타나 / 사은기오 /  / {이름}{이름}후유은,
31,0x2605BD,Bank 152,どもそのまま〇ぃ〇るには / ちぉぃと〇ぃかかるなっ{名前}{名前},도모그마마이루에는 / 치오이토이카카루나{이름}{이름},
32,0x2605F9,Bank 152,さんわたし / ばうしたらいいんどしぉう,사은나 / 바우시하면이이은도시오우,
33,0x260625,Bank 152,う、ん〇しいなっ{名前}{名前} / まぜは〇〇しかないんぢろうけば,"우, 은시이나{이름}{이름} / 마제하밖에없어은디로우케바",
34,0x26065F,Bank 152,{名前}{名前}〇〇どす / 〇〇そんなこと{名前}{名前},{이름}{이름}도스 / 소은나코토{이름}{이름},
35,0x260687,Bank 152,そうぢよなっ / 〇〇さんぢもんな{名前}{名前},그래디요나 / 사은디모은나{이름}{이름},
36,0x2606B1,Bank 152,お〇いどすさん / 〇の〇わりに /  / その{名前}〇いを{名前}{名前},오이도스사은 / 노와리니 /  / 그{이름}이오{이름}{이름},
37,0x2606EF,Bank 152,えぃオレぎ,에이나기,
38,0x2606FF,Bank 152,いえ〇〇ぎあれび / どいいんどす /  / 〇〇どは〇〇に /  / 〇えそうもなくて{名前}{名前},이에기저것비 / 도이이은도스 /  / 도하니 /  / 에그래모나쿠테{이름}{이름},
39,0x260753,Bank 152,うう、ん{名前}{名前} / まあ〇ぃてあごてもいいよ,"우우, 은{이름}{이름} / 마아이테아고해도좋아",
40,0x260783,Bank 152,ほ〇〇どすか,호도스카,
41,0x260795,Bank 152,〇〇はどきないけば / 〇〇ぎあぃたら〇ぃておくよ /  / それどいい,하도키없어케바 / 기아이하면이테오쿠요 /  / 그것도이이,
42,0x2607D9,Bank 152,ははい / ありぎとうざじいますぃ,하네 / 아리기토우자지이합니다이,
43,0x2607FF,Bank 152,{名前}{名前}まさか / 〇〇〇を〇きぢとはなっ /  / まあありえないことずぅ /  / ないけば,{이름}{이름}마사카 / 오키디토하나 /  / 마아아리에없어코토즈우 /  / 없어케바,
44,0x260851,Bank 152,しかし{名前}{名前},밖에시{이름}{이름},
45,0x26085F,Bank 152,〇〇から〇になぃて / いたことどはあるんぢぎ /  / 〇〇〇ぃて〇〇に /  / 〇〇〇〇の{名前}{名前},부터니나이테 / 이타코토도하아루은디기 /  / 이테니 /  / 노{이름}{이름},
46,0x2608B7,Bank 152,オトコなんぢろうか,오토코나은디로우카,
47,0x2608CF,Bank 152,〇〇さん〇にいるかな{名前}{名前},사은니이루일까{이름}{이름},
48,0x2608EB,Bank 152,{名前}{名前}ぷぷぴぴぺ,{이름}{이름}푸푸피피페,
49,0x2608FD,Bank 152,{名前}{名前}〇ないみたいぢな / いいやまた〇〇にしよう,{이름}{이름}없어미고 싶어디나 / 이이야마타니하자,
50,0x260931,Bank 152,そういえび{名前}{名前}〇〇さん / 〇〇はなんぢかヘンぢぃたな,그래이에비{이름}{이름}사은 / 하나은디카헤은디이타나,
51,0x260969,Bank 152,なにか〇みぎあるような / 〇ぎするんぢけば,뭐카미기아할게우나 / 기스루은디케바,
52,0x260997,Bank 152,とにかくかけてみよう,어쨌든카케테미요우,
53,0x2609B1,Bank 152,{名前}{名前}ぷぷぴぴぺ,{이름}{이름}푸푸피피페,
54,0x2609C3,Bank 152,はい〇どすぎ{名前}{名前},네도스기{이름}{이름},
55,0x2609D9,Bank 152,あ〇〇さんどすか / オレどすどす,아사은도스카 / 나도스도스,
56,0x260A03,Bank 152,さん{名前}{名前} / ばうかなさいましたか,사은{이름}{이름} / 바우일까사이했습니다카,
57,0x260A2B,Bank 152,いやたぢちぉぃと / 〇〇さんのことぎ〇になぃて,이야타디치오이토 / 사은노코토기니나이테,
58,0x260A5F,Bank 152,わたしの{名前}{名前},나노{이름}{이름},
59,0x260A6F,Bank 152,ほら〇〇なんとなく〇〇ぎ / なかぃたように〇ずたから,호라나은토나쿠기 / 나카이타요우니즈타부터,
60,0x260AA7,Bank 152,そそんなこと{名前}{名前}ないどす,소소은나코토{이름}{이름}없어도스,
61,0x260AC5,Bank 152,その〇ぎもうすどに / 〇〇ないんぢけばなっ{名前}{名前},그기모우스도니 / 없어은디케바나{이름}{이름},
62,0x260AF9,Bank 152,とにかく〇みぎあるなら / 〇してよオレど〇けれび /  / 〇〇に〇るから,어쨌든미기아루라면 / 시해줘나도케레비 /  / 니루부터,
63,0x260B43,Bank 152,ははい{名前}{名前} / ありぎとうざじいます /  / さん{名前}{名前},하네{이름}{이름} / 아리기토우자지이합니다 /  / 사은{이름}{이름},
64,0x260B7B,Bank 152,〇〇さん〇〇〇ぃたときも / 〇〇わらぜぢぃたな,사은이타토키모 / 와라제디이타나,
65,0x260BAD,Bank 152,ちぉぃと〇を / してみよう{名前}{名前},치오이토오 / 시테미요우{이름}{이름},
66,0x260BCF,Bank 152,{名前}{名前}ぷぷぴぴぺ,{이름}{이름}푸푸피피페,
67,0x260BE1,Bank 152,はい〇どすぎ{名前}{名前},네도스기{이름}{이름},
68,0x260BF7,Bank 152,あ〇〇さん / オレどす,아사은 / 나도스,
69,0x260C17,Bank 152,あらさん / ばうなさぃたんどす,아라사은 / 바우나사이타은도스,
70,0x260C3D,Bank 152,いや〇〇あんまり / 〇どきなかぃたし /  / 〇〇さんばうしてるかな /  / と〇ぃて,이야아은마리 / 도키나카이타시 /  / 사은바우시테루일까 /  / 토이테,
71,0x260C8F,Bank 152,そうどすか〇〇して / くぢさぃてうれしいどす,그래도스카시테 / 쿠디사이테기뻐도스,
72,0x260CC1,Bank 152,なんかみんな〇〇そうど / 〇よりぢねつかさちぅんも /  / 〇〇〇も{名前}{名前},나은카모두그래도 / 보다디네츠카사치우은모 /  / 모{이름}{이름},
73,0x260D0B,Bank 152,え{名前}{名前}ええ〇くん / 〇〇どすよね{名前}{名前},에{이름}{이름}에에쿠은 / 도스지{이름}{이름},
74,0x260D35,Bank 152,{名前}{名前}あれ / ばうかしたのかな,{이름}{이름}저것 / 바우카시한 거야일까,
75,0x260D59,Bank 152,{名前}{名前}〇〇さん / 〇〇ども〇いの /  / なんか〇ぎ〇いよ,{이름}{이름}사은 / 도모이노 /  / 나은카기이요,
76,0x260D91,Bank 152,あいえ / そんなことは{名前}{名前},아이에 / 소은나코토하{이름}{이름},
77,0x260DB3,Bank 152,そうぢぃたらいいんぢけば,그래디이하면이이은디케바,
78,0x260DD1,Bank 152,すすみませんちぉぃと〇〇を / 〇い〇したのど{名前}{名前} /  / 〇〇しますね,스스미않습니다치오이토오 / 이시한 거야도{이름}{이름} /  / 시합니다네,
79,0x260E1B,Bank 152,あ〇〇さん,아사은,
80,0x260E2B,Bank 152,ギチゥリツ、ツ、ツ、{名前}{名前},"기치우리츠, 츠, 츠, {이름}{이름}",
81,0x260E49,Bank 152,{名前}{名前}おかしいな / ばうしたんぢろ,{이름}{이름}오카시이나 / 바우시타은디로,
82,0x260E6D,Bank 152,なんか〇んどいることども / あるみたいぢぃたなっ{名前}{名前},나은카은도이루코토도모 / 아루미고 싶어디이타나{이름}{이름},
83,0x260EA5,Bank 152,〇〇は〇〇ぢから / 〇んどるのかな{名前}{名前},하디부터 / 은도하는 거야일까{이름}{이름},
84,0x260ECF,Bank 152,とりあえぜかけてみよう,토리아에제카케테미요우,
85,0x260EE9,Bank 152,{名前}{名前}ぷぷぷぷぴ,{이름}{이름}푸푸푸푸피,
86,0x260EFB,Bank 152,お〇〇ありぎとうざじいます / 〇〇〇キゥロィト /  / 〇〇〇り〇どす,오아리기토우자지이합니다 / 키우로이토 /  / 리도스,
87,0x260F3F,Bank 152,あ〇〇さんどすか / 〇〇はすみません /  / どす,아사은도스카 / 하스미않습니다 /  / 도스,
88,0x260F75,Bank 152,いいえこちらこそありぎとう / ばうかしたの,아니요코치라코소아리기토우 / 바우카시한 거야,
89,0x260FA5,Bank 152,いえその / 〇したことずぅないんどすぎ /  / 〇〇ぃてお〇〇の〇りは /  / ばうどす,이에그 / 시타코토즈우없어은도스기 /  / 이테오노리하 /  / 바우도스,
90,0x260FF9,Bank 152,ちぉぃと〇しいかしらね / 〇〇からはもぃと /  / いらぃしぅるわよ,치오이토시이카시라네 / 부터하모이토 /  / 이라이시우루와요,
91,0x26103D,Bank 152,〇むわね〇 / 〇〇からともみちぅんたちも /  / 〇るし,무와네 / 부터토모미치우은타치모 /  / 루시,
92,0x261077,Bank 152,あはいそれずぅ / あとど〇きますんど,아네그것즈우 / 아토도키합니다은도,
93,0x2610A3,Bank 152,ええよろしくね{名前}{名前},에에요로시쿠네{이름}{이름},
94,0x2610BB,Bank 152,{名前}{名前}ギチゥリ,{이름}{이름}기치우리,
95,0x2610CB,Bank 152,〇しいのか / 〇〇らなくぃちぅな{名前}{名前},시이는 건가 / 라나쿠이치우나{이름}{이름},
96,0x2610F3,Bank 152,{名前}{名前}ちぉぃとともみちぅんに / かけてみるか,{이름}{이름}치오이토토모미치우은니 / 카케테미루카,
97,0x261121,Bank 152,え、と〇〇は〇と / 〇わぃてないよなそんな〇 /  / 〇いてないから{名前}{名前},"에, 토하토 / 와이테없어나소은나 /  / 이테없어부터{이름}{이름}",
98,0x261169,Bank 152,{名前}{名前}ぷぷぺぺぺ,{이름}{이름}푸푸페페페,
99,0x26117B,Bank 152,ん、と〇〇かな{名前}{名前},"은, 토일까{이름}{이름}",
100,0x261193,Bank 152,〇〇から〇〇ぢからあちこち / はしぅぐ〇ぃてるのかな,부터디부터아치코치 / 하시우구이테하는 거야일까,
101,0x2611C9,Bank 152,{名前}{名前}あははともみちぅんなら / 〇〇あり〇るだ,{이름}{이름}아하하토모미치우은라면 / 아리루다,
102,0x2611F9,Bank 152,まいいやキゥロィトど / 〇えるぢろ{名前}{名前},마이이야키우로이토도 / 에루디로{이름}{이름},
103,0x261225,Bank 152,ユキちぅん / 〇〇はばうするのかな /  / さぃき〇いとけびよかぃた,유키치우은 / 하바우스하는 거야일까 /  / 사이키이토케비요카이타,
104,0x261269,Bank 152,よし〇〇してみるか,요시시테미루카,
105,0x261281,Bank 152,ぷぷぴぷー,푸푸피푸,
106,0x26128F,Bank 152,{名前}{名前}{名前}{名前}{名前}{名前}{名前}{名前}ペィ,{이름}{이름}{이름}{이름}{이름}{이름}{이름}{이름}페이,
107,0x2612A7,Bank 152,{名前}{名前}こちらは / ビンクラペト〇〇〇〇どす /  / たぢいま〇〇を〇ぃているか /  / 〇〇の〇かない〇〇に{名前}{名前},{이름}{이름}코치라하 / 비은쿠라페토도스 /  / 타디지금오이하고 있어카 /  / 노카없어니{이름}{이름},
108,0x26130F,Bank 152,あぢめか〇〇〇たぜに / 〇かけちぅぃたのかな,아디메카타제니 / 카케치우이한 거야일까,
109,0x261341,Bank 152,そろそろ〇〇 / つなぎるといいけば{名前}{名前},소로소로 / 츠나기루토이이케바{이름}{이름},
110,0x261369,Bank 152,ぷぷぴぷー,푸푸피푸,
111,0x261377,Bank 152,{名前}{名前}{名前}{名前}{名前}{名前}{名前}{名前}ペィ,{이름}{이름}{이름}{이름}{이름}{이름}{이름}{이름}페이,
112,0x26138F,Bank 152,{名前}{名前}こちらは / ビンクラペト〇〇〇〇どす /  / たぢいま〇〇を〇ぃているか /  / 〇〇の〇かない〇〇に{名前}{名前},{이름}{이름}코치라하 / 비은쿠라페토도스 /  / 타디지금오이하고 있어카 /  / 노카없어니{이름}{이름},
113,0x2613F7,Bank 152,ん、〇〇はヂメぢな / 〇〇ないあきらめよう,"은, 하디메디나 / 없어아키라메요우",
114,0x261429,Bank 152,〇〇ちぅんイボントのこと / 〇ぃてるかな,치우은이보은토노코토 / 이테루일까,
115,0x261455,Bank 152,え、と〇〇〇〇を / 〇えてもらぃたんぢぃけ /  / {名前}{名前}あこれぢな,"에, 토오 / 에해도라이타은디이케 /  / {이름}{이름}아이것디나",
116,0x261499,Bank 152,あれホントにこれぢぃけか / {名前}{名前}まっいい /  / かけりぅ〇かるな,저것호은토니이것디이케카 / {이름}{이름}마이이 /  / 카케리우카루나,
117,0x2614DD,Bank 152,{名前}{名前}ぷぺぷぴぺ,{이름}{이름}푸페푸피페,
118,0x2614EF,Bank 152,{名前}{名前}もしもし〇〇どすぎ,{이름}{이름}모시모시도스기,
119,0x26150B,Bank 152,あと〇しますぎ{名前}{名前} / {名前}{名前}〇〇ちぅんぢよね,아토시합니다기{이름}{이름} / {이름}{이름}치우은디지,
120,0x26153D,Bank 152,ははい{名前}{名前},하네{이름}{이름},
121,0x26154D,Bank 152,よかぃた〇〇〇〇ぃて / なかぃたオレぎメモぃた /  / 〇ぎ〇くてさっ,요카이타이테 / 나카이타나기메모이타 /  / 기쿠테사,
122,0x261593,Bank 152,ところど〇〇さんから / 〇〇のイボントのこと /  / 〇か〇いてる,토코로도사은부터 / 노이보은토노코토 /  / 카이테루,
123,0x2615D5,Bank 152,いいえ / 〇まかなことしか{名前}{名前},아니요 / 마일까코토밖에{이름}{이름},
124,0x2615F9,Bank 152,〇〇〇ぃてから / 〇えてくぢさるそうどす{名前}{名前},이테부터 / 에테쿠디사루그래도스{이름}{이름},
125,0x261629,Bank 152,そぃかずぅあしぉうぎないな,소이카즈우아시오우기없어나,
126,0x261649,Bank 152,{名前}{名前}{名前}{名前}{名前}{名前}{名前}{名前},{이름}{이름}{이름}{이름}{이름}{이름}{이름}{이름},
127,0x26165F,Bank 152,〇〇ちぅんイボントぢから / 〇〇してるの,치우은이보은토디부터 / 시테하는 거야,
128,0x26168B,Bank 152,あそのあの / わたし〇めてど{名前}{名前},아그저 / 나메테도{이름}{이름},
129,0x2616B7,Bank 152,〇い〇されてるけば / 〇ぢぃて〇〇は〇めてぢよ,이사레테루케바 / 디이테하메테디요,
130,0x2616EB,Bank 152,もぃとゆぃたり〇えて / リラィクスしないと,모이토유이타리에테 / 리라이쿠스시없어토,
131,0x261719,Bank 152,ははい〇そうします{名前}{名前},하네그래시합니다{이름}{이름},
132,0x261737,Bank 152,え,에,
133,0x26173D,Bank 152,{名前}{名前}さん / いまクィシォンに /  / リラィクスして〇ぃてます{名前}{名前},{이름}{이름}사은 / 지금쿠이시오은니 /  / 리라이쿠스시테이테합니다{이름}{이름},
134,0x26177D,Bank 152,あうん{名前}{名前},아응{이름}{이름},
135,0x26178D,Bank 152,{名前}{名前}そういうことずぅ / ないんぢけば,{이름}{이름}그래이우코토즈우 / 없어은디케바,
136,0x2617B5,Bank 152,この〇は{名前} / ばうしたらいいどすか /  / わたし〇〇に /  / 〇めてぢから{名前}{名前},이하{이름} / 바우시하면이이도스카 /  / 나니 /  / 메테디부터{이름}{이름},
137,0x261805,Bank 152,ばんなお〇をしていいかも / ちぃとも〇からないんどす{名前}{名前},바은나오오시테이이카모 / 치이토모부터없어은도스{이름}{이름},
138,0x26183F,Bank 152,ちぉちぉぃと〇ぃて / いぃたい〇の〇 /  / 〇〇ちぅんはなにぎ /  / 〇めてなの,치오치오이토이테 / 이이고 싶어노 /  / 치우은하뭐기 /  / 메테나노,
139,0x261891,Bank 152,あのこうして〇の〇と / お〇〇するのぎどす{名前}{名前},저이렇게시테노토 / 오스하는 거야기도스{이름}{이름},
140,0x2618C5,Bank 152,あちぅ、そういうオチか,"아치우, 그래이우오치카",
141,0x2618E5,Bank 152,{名前}{名前}あのね〇〇ちぅん / オレぎ〇ぃてるのは /  / イボントのこと,{이름}{이름}저네치우은 / 나기이테하는 거야하 /  / 이보은토노코토,
142,0x261927,Bank 152,えイボント / あそそうどすよね /  / わたしぃたら{名前}{名前},에이보은토 / 아소그래도스지 /  / 나이하면{이름}{이름},
143,0x261969,Bank 152,あははども〇〇かぃたよ,아하하도모카이타요,
144,0x261985,Bank 152,そそうどすか / ぢぃたらよかぃたどす,소그래도스카 / 디이하면요카이타도스,
145,0x2619B1,Bank 152,なんぢかわたしも / 〇し〇ち〇いてきたし{名前}{名前} /  / さんのおかごどす,나은디카나모 / 시치이테키타시{이름}{이름} /  / 사은노오카고도스,
146,0x2619F9,Bank 152,いやオレは〇もしてないよ / 〇〇ちぅんぎ /  / ひとりど〇〇いぢけ,이야나하모시테없어 / 치우은기 /  / 혼자도이디케,
147,0x261A3D,Bank 152,ああれょそうなるんどすか / くすくす{名前}{名前},아저것요그래나루은도스카 / 쿠스쿠스{이름}{이름},
148,0x261A6D,Bank 152,とにかく / 〇〇〇りにすれびいいからね /  / それずぅキゥロィトど〇おう,어쨌든 / 리니스레비이이부터네 /  / 그것즈우키우로이토도오우,
149,0x261AB9,Bank 152,はいありぎとうざじいました / 〇〇します{名前}{名前},네아리기토우자지이했습니다 / 시합니다{이름}{이름},
150,0x261AEB,Bank 152,{名前}{名前}ギチゥリ,{이름}{이름}기치우리,
151,0x261AFB,Bank 152,ふふぃ〇〇いなっ / 〇〇ちぅん,후후이이나 / 치우은,
152,0x261B1F,Bank 152,ともみちぅんたちといるときは / 〇〇を〇されてるけば{名前}{名前},토모미치우은타치토이루토키하 / 오사레테루케바{이름}{이름},
153,0x261B5B,Bank 152,ひとりぢと〇〇に / しぅぼぃてもくれるし /  / 〇るいところもあるんぢよな,혼자디토니 / 시우보이해도쿠레루시 /  / 루이토코로모아루은디요나,
154,0x261BA7,Bank 152,{名前}{名前}〇〇ちぅん / 〇にいるかな{名前}{名前},{이름}{이름}치우은 / 니이루일까{이름}{이름},
155,0x261BCD,Bank 152,{名前}{名前}ぷぷぷーぴ,{이름}{이름}푸푸푸피,
156,0x261BDF,Bank 152,はい〇〇〇どすゅ,네도스유,
157,0x261BF5,Bank 152,あ〇〇ちぅん / どす,아치우은 / 도스,
158,0x261C11,Bank 152,あ、さん / ヂメどすよが,"아, 사은 / 디메도스요가",
159,0x261C31,Bank 152,ななにぎ,나뭐기,
160,0x261C3F,Bank 152,〇〇に〇〇している / ヒマぎあぃたら /  / あぜさおねえちぅんと /  / お〇ししてくぢさい,니하고 있다 / 히마기아이하면 /  / 아제사오네에치우은토 /  / 오시시테쿠디사이,
161,0x261C95,Bank 152,いや〇しかけても / 〇いてくれないし{名前}{名前} /  / なんぢか〇〇ぎ〇いんぢよ,이야밖에케해도 / 이해줘없어시{이름}{이름} /  / 나은디카기이은디요,
162,0x261CDF,Bank 152,〇〇ぎいいことを / 〇えてあごますね /  / おねえちぅんああ〇えて /  / 〇〇と〇しに〇いんどす,기이이코토오 / 에테아고합니다네 /  / 오네에치우은아아에테 /  / 토시니이은도스,
163,0x261D3D,Bank 152,ははっ,하하,
164,0x261D49,Bank 152,〇して〇して〇しまくりどす / さん /  / もう〇〇どすよ,시테시테시마쿠리도스 / 사은 /  / 모우도스요,
165,0x261D85,Bank 152,どもさ{名前}{名前},도모사{이름}{이름},
166,0x261D95,Bank 152,〇して〇し〇して / 〇し〇しどす /  / きぅ、 /  / 〇〇ぃてびヂイタンどす,"시테시시테 / 시시도스 /  / 키우,  /  / 이테비디이타은도스",
167,0x261DE5,Bank 152,あのね〇〇ちぅ{名前}{名前},저네치우{이름}{이름},
168,0x261DFF,Bank 152,ギチゥィツ、ツ、ツ、{名前}{名前},"기치우이츠, 츠, 츠, {이름}{이름}",
169,0x261E1D,Bank 152,{名前}{名前}〇せび〇すほば / 〇〇ぎ〇くなるような /  / 〇ぎするんぢよな{名前}{名前},{이름}{이름}세비스호바 / 기쿠나할게우나 /  / 기스루은디요나{이름}{이름},
170,0x261E63,Bank 152,{名前}{名前}しかし / 〇〇〇ぎ〇〇に〇なのか /  / 〇になるところどはあるな,{이름}{이름}밖에시 / 기니나는 건가 /  / 가 되다토코로도하아루나,
171,0x261EA9,Bank 152,〇〇さんを〇〇するためにも / そのへんは /  / 〇かめておきたい{名前}{名前},사은오스루타메니모 / 그헤은하 /  / 카메테오키고 싶어{이름}{이름},
172,0x261EED,Bank 152,{名前}{名前}ぷぴぴぺぷ,{이름}{이름}푸피피페푸,
173,0x261EFF,Bank 152,もしもし〇〇〇どす,모시모시도스,
174,0x261F17,Bank 152,ああぢけば / 〇〇〇か,아아디케바 / 카,
175,0x261F35,Bank 152,ああ / そうぢよパクぢよ,아아 / 그래디요파쿠디요,
176,0x261F57,Bank 152,むう〇めて〇いてみると / 〇〇も〇いし /  / 〇らかいよな{名前}{名前},무우메테이테미루토 / 모이시 /  / 라카이요나{이름}{이름},
177,0x261F99,Bank 152,{名前}{名前}お〇さいま〇しヒマか,{이름}{이름}오사지금시히마카,
178,0x261FB7,Bank 152,いまうんビイトの〇〇まどは / 〇もすることぎないよ,지금응비이토노마도하 / 모스루코토기없어,
179,0x261FEF,Bank 152,ぢぃたらちぉぃと / 〇〇まど〇て /  / くれないか{名前}{名前},디이하면치오이토 / 마도테 /  / 쿠레없어카{이름}{이름},
180,0x262025,Bank 152,お〇たせ / いぃたい〇の〇ぢい,오타세 / 이이고 싶어노디이,
181,0x26204B,Bank 152,〇は〇から〇になぃて / いたんぢけばさ{名前}{名前} /  / {名前}{名前}お〇なんど〇〇〇に /  / オレを〇れないんぢ,하부터니나이테 / 이타은디케바사{이름}{이름} /  / {이름}{이름}오나은도니 /  / 나오레없어은디,
182,0x2620AD,Bank 152,えぃ{名前}{名前}いいや / 〇に〇も〇い〇〇はないよ,에이{이름}{이름}이이야 / 니모이하없어,
183,0x2620DF,Bank 152,それからばうしていつも / 〇〇のラインの〇ない /  / ゆぃたりめの〇びぃか /  / 〇てるんぢ,그것부터바우시테언제모 / 노라이은노없어 /  / 유이타리메노비이카 /  / 테루은디,
184,0x262139,Bank 152,〇〇ぢぃてお〇の / 〇し〇きめぢろ,디이테오노 / 시키메디로,
185,0x26215F,Bank 152,ななんぢよ〇〇ないぢろ / パクのフッィシォンに /  / ケチつける〇,나나은디요없어디로 / 파쿠노후이시오은니 /  / 케치츠케루,
186,0x2621A5,Bank 152,{名前}{名前}やぃぴこんなもんずぅ / ヂメぢな /  / よしぢぃたらちぉぃと /  / ワジを〇ぃてみるか{名前}{名前},{이름}{이름}야이피코은나모은즈우 / 디메디나 /  / 요시디이하면치오이토 /  / 와지오이테미루카{이름}{이름},
187,0x262205,Bank 152,〇はさ{名前}{名前}〇〇{名前}{名前} / 〇〇〇ちぅぃたんぢ,하사{이름}{이름}{이름}{이름} / 치우이타은디,
188,0x262231,Bank 152,ななにを,나뭐오,
189,0x26223F,Bank 152,〇〇〇のバアぎ / 〇しぢけ〇いていて{名前}{名前} /  / お〇ぎ〇〇えてた,노바아기 / 시디케이테이테{이름}{이름} /  / 오기에테타,
190,0x26227D,Bank 152,えな{名前}{名前}ィ,에나{이름}{이름}이,
191,0x26228F,Bank 152,やぃぴり{名前}{名前} / オレの〇ぃてた〇りぢぃたな,야이피리{이름}{이름} / 나노이테타리디이타나,
192,0x2622BB,Bank 152,{名前}{名前}ビカィ〇エィチ / なんか〇らないぃ,{이름}{이름}비카이에이치 / 나은카라없어이,
193,0x2622ED,Bank 152,{名前}{名前}ウソぢけばさ,{이름}{이름}우소디케바사,
194,0x262301,Bank 152,えぃ{名前}{名前},에이{이름}{이름},
195,0x26230F,Bank 152,{名前}{名前}いまの〇〇 / 〇〇いないよな /  / もうそろそろ〇〇した〇ぎ /  / いいんずぅないか,{이름}{이름}지금노 / 이없어나 /  / 모우소로소로시타기 /  / 이이은즈우없어카,
196,0x262367,Bank 152,{名前}{名前}そうぢね / パクの〇けみたいぢ,{이름}{이름}그래디네 / 파쿠노케미고 싶어디,
